,folio,Documento,Cliente,Clave,Cantidad,SKUVARI,Precio,Fecha,Almacen
230,2,VTAWEB #44794,WEB,44794,1.0,TE42358,197.0,2024-11-30, 1
231,2,VTAWEB #44307,WEB,44307,1.0,TE42358,197.0,2024-11-30, 1
232,2,VTAWEB #44780,WEB,44780,1.0,TE42359,157.0,2024-11-30, 1
233,2,VTAWEB #44823,WEB,44823,1.0,TE43006,944.0,2024-11-30, 1
234,2,VTAWEB #44804,WEB,44804,1.0,TE43010,584.0,2024-11-30, 1
235,2,VTAWEB #44780,WEB,44780,1.0,TE43010,584.0,2024-11-30, 1
236,2,VTAWEB #44307,WEB,44307,1.0,TE43021,350.0,2024-11-30, 1
237,2,VTAWEB #44809,WEB,44809,1.0,TE43023,435.0,2024-11-30, 1
238,2,VTAWEB #44786,WEB,44786,1.0,TE43036,414.0,2024-11-30, 1
239,2,VTAWEB #44779,WEB,44779,1.0,TE43037,414.0,2024-11-30, 1
240,2,VTAWEB #44781,WEB,44781,1.0,TE43037,414.0,2024-11-30, 1
241,2,VTAWEB #44781,WEB,44781,1.0,TE43038,288.0,2024-11-30, 1
242,2,VTAWEB #44779,WEB,44779,1.0,TE43038,288.0,2024-11-30, 1
243,2,VTAWEB #44795,WEB,44795,1.0,TE43044,330.0,2024-11-30, 1
244,2,VTAWEB #44768,WEB,44768,1.0,TE43044,330.0,2024-11-30, 1
245,2,VTAWEB #44821,WEB,44821,1.0,TE43058,2080.0,2024-11-30, 1
246,2,VTAWEB #44795,WEB,44795,1.0,TE43070,330.0,2024-11-30, 1
247,2,VTAWEB #44768,WEB,44768,1.0,TE43075,330.0,2024-11-30, 1
248,2,VTAWEB #44781,WEB,44781,1.0,TE43076,330.0,2024-11-30, 1
249,2,VTAWEB #44807,WEB,44807,1.0,TE43077,690.0,2024-11-30, 1
250,2,VTAWEB #44771,WEB,44771,1.0,TE43079,965.0,2024-11-30, 1
251,2,VTAWEB #44768,WEB,44768,1.0,TE43082,330.0,2024-11-30, 1
252,2,VTAWEB #44768,WEB,44768,1.0,TE43084,330.0,2024-11-30, 1
253,2,VTAWEB #44773,WEB,44773,1.0,TE43084,330.0,2024-11-30, 1
254,2,VTAWEB #44789,WEB,44789,1.0,TE43086,414.0,2024-11-30, 1
255,2,VTAWEB #44802,WEB,44802,1.0,TE43087,477.0,2024-11-30, 1
256,2,VTAWEB #44771,WEB,44771,1.0,TE43089,414.0,2024-11-30, 1
257,2,VTAWEB #44776,WEB,44776,1.0,TE43095,288.0,2024-11-30, 1
258,2,VTAWEB #44768,WEB,44768,1.0,TE43095,288.0,2024-11-30, 1
259,2,VTAWEB #44307,WEB,44307,1.0,TE43095,288.0,2024-11-30, 1
260,2,VTAWEB #44794,WEB,44794,1.0,TE43099,330.0,2024-11-30, 1
261,2,VTAWEB #44809,WEB,44809,1.0,TE43100,371.0,2024-11-30, 1
262,2,VTAWEB #44821,WEB,44821,1.0,TE43126,288.0,2024-11-30, 1
263,2,VTAWEB #44821,WEB,44821,1.0,TE43127,1008.0,2024-11-30, 1
264,2,VTAWEB #44785,WEB,44785,1.0,TE43131,288.0,2024-11-30, 1
265,2,VTAWEB #44823,WEB,44823,1.0,TE43136,288.0,2024-11-30, 1
266,2,VTAWEB #44771,WEB,44771,1.0,TE43143,330.0,2024-11-30, 1
267,2,VTAWEB #44788,WEB,44788,1.0,TE43217,322.0,2024-11-30, 1
268,2,VTAWEB #44799,WEB,44799,1.0,TE43218,859.0,2024-11-30, 1
269,2,VTAWEB #44788,WEB,44788,1.0,TE43325,330.0,2024-11-30, 1
270,2,VTAWEB #44780,WEB,44780,1.0,TE43327,330.0,2024-11-30, 1
271,2,VTAWEB #44795,WEB,44795,1.0,TE43351,412.0,2024-11-30, 1
272,2,VTAWEB #44792,WEB,44792,1.0,TE44002,560.0,2024-11-30, 1
273,2,VTAWEB #44704,WEB,44704,3.0,TE44015,685.0,2024-11-30, 1
274,2,VTAWEB #44778,WEB,44778,1.0,TE44017,602.0,2024-11-30, 1
275,2,VTAWEB #44476,WEB,44476,1.0,TE44018,939.0,2024-11-30, 1
276,2,VTAWEB #44803,WEB,44803,1.0,TE44038,560.0,2024-11-30, 1
277,2,VTAWEB #44783,WEB,44783,1.0,TE44076,643.0,2024-11-30, 1
278,2,VTAWEB #44807,WEB,44807,1.0,TE44078,685.0,2024-11-30, 1
279,2,VTAWEB #44805,WEB,44805,2.0,TE44079,1915.0,2024-11-30, 1
280,2,VTAWEB #44819,WEB,44819,2.0,TE44079,1915.0,2024-11-30, 1
281,2,VTAWEB #44807,WEB,44807,1.0,TE44084,643.0,2024-11-30, 1
282,2,VTAWEB #44795,WEB,44795,1.0,TE44095,560.0,2024-11-30, 1
283,2,VTAWEB #44808,WEB,44808,1.0,TE44095,560.0,2024-11-30, 1
284,2,VTAWEB #44802,WEB,44802,1.0,TE44095,560.0,2024-11-30, 1
285,2,VTAWEB #44783,WEB,44783,1.0,TE44095,560.0,2024-11-30, 1
286,2,VTAWEB #44476,WEB,44476,1.0,TE44114,856.0,2024-11-30, 1
287,2,VTAWEB #44792,WEB,44792,1.0,TE44234,856.0,2024-11-30, 1
